title,id,author,date,doi,type
genetic diversity of dioctophyme renale in southern south america,39462818,"['arce lf, facelli fernandez f, giorello n, butti m, maldonado ll, arrabal jp, natalini mb, kowalewski m, pedrassani d, silveira mascarenhas c, da silva rappeti jc, zilli f, beldomenico pm, lia v, franchini gr, kamenetzky l.']",2025,10.1017/s0031182024001379,TypeEnum.ARTICLE
new technologies for identification and surveillance of chagas disease vectors,41920171,"['gurgel-goncalves r, juliao gr, ferreira ra, souza rcm, rojas-cortez m, vieira tm, miranda vl, brant jl, obara mt, silva rae, ibarrola-vannucci ak, marti g, ceccarelli s.']",2026,10.1590/0037-8682-0597-2025,TypeEnum.ARTICLE
global determinants of coastal migration under climate change,40715055,"['duijndam sj, botzen wjw, hagedoorn lc, ton m, bruijn j, carretero s, dachary-bernard j, rulleau b, aerts jcjh.']",2025,10.1038/s41467-025-59199-y,TypeEnum.ARTICLE
inwardly rectifying potassium channels: critical insights for insect species and apis mellifera,40641062,"['sourisseau f, doupnik ca, charnet p, chahine m.']",2025,10.1080/19336950.2025.2529250,TypeEnum.ARTICLE
"trophic behavior and parasite communities in kelp gulls from the northern patagonian coast, argentina",40595310,"['lorenti e, cremonte f, minardi g, bertellotti m, navone g, diaz ji.']",2025,10.1038/s41598-025-07544-y,TypeEnum.ARTICLE
real-world effectiveness and safety of teduglutide in adult and pediatric patients with short bowel syndrome in argentina,41378076,"['solar muniz h, fernandez a, busoni v, martinez mi, rumbo c, barrio s, saure c, balacco m, buncuga mg, dlugoszweski c, manzur a, rudi l, matoso md, cosentino s, ussher f, manzur f, demarchi j, malaver e, brion l, ungar l.']",2025,10.4292/wjgpt.v16.i4.110642,TypeEnum.ARTICLE
potential of andean grains as substitutes for animal proteins in vegetarian and vegan diets: a nutritional and functional analysis,40941103,"['quevedo-olaya jl, schmiele m, correa mj.']",2025,10.3390/foods14172987,TypeEnum.ARTICLE
mercury contamination of sympatric seabirds and associated health risks in an antarctic ecosystem,40447024,"['mills wf, ibanez ae, bustamante p, waterman j, morales lm, mariano-jelicich r, montalti d, black s.']",2025,10.1016/j.envres.2025.121990,TypeEnum.ARTICLE
human tissue oxygen and strontium isotope values in north america: a data compilation and assessment for forensic geolocation,40139978,"['verostick ka, serna a, stantis c, bowen gj.']",2025,10.1111/1556-4029.70030,TypeEnum.ARTICLE
mosquitoes and the city: effects of urbanization on aedes albopictus and culex pipiens captures in southern spain,41220021,"['garrido m, parra p, veiga j, garrigos m, panisse g, martinez-de puente j.']",2025,10.1186/s13071-025-07094-2,TypeEnum.ARTICLE
[first argentine consensus statement on the management of schizophrenia. section i: introduction and general concepts],41172024,"['corrales a, abadi a, asociacion familiares esquizofrenicos aafe, bartoli g, benavente pinto c, cabrera a, camino s, corral r, delmonte g, garcia bonetto g, garay cj, gargoloff d, gargoloff p, goldchuk a, iveli mf, jufe g, lamaison f, leiderman e, lopez mato a, marengo e, maresca t, michat d, morra c, prokopez c, ramirez j, rebok f, rubio dominguez e, sotelo d, strejilevich s, toro martinez e, vazquez g, vilaprino jj, vilaprino m, waisman campos m, grasso v, cetkovich-bakmas m.']",2025,10.53680/vertex.v36i169.900,TypeEnum.ARTICLE
baculovirus-mediated gene therapy: targeting birc6 for lung and breast cancer,41305480,"['marchesini a, gomez bergna sm, amoros morales lc, lopez mf, vasquez l, tongiani se, gonzalez moran f, romanowski v, gottardo mf, pidre ml.']",2025,10.3390/v17111458,TypeEnum.ARTICLE
structure and evolution of the embryonic cartilaginous skull of crocodilians,41200243,"['fernandez blanco mv, werneburg i.']",2025,10.1098/rsos.251281,TypeEnum.ARTICLE
optimizing cryopreservation protocols of saccharomyces eubayanus using heat transfer modeling,41826753,"['caruso ma, libkind d, zaritzky n, santos mv.']",2026,10.1007/s00253-026-13779-0,TypeEnum.ARTICLE
"characterization of rcga and rcgr, two rhizobial proteins involved in the modulation of plasmid transfer",41738746,"['castellani lg, cabrera md, luchetti a, nilsson jf, perez-gimenez j, banuelos-vazquez la, alva a, wibberg d, busche t, kalinowski j, schluter a, puhler a, niehaus k, pistorio m, torres tejerizo g.']",2026,10.1128/spectrum.03242-25,TypeEnum.ARTICLE
a preclinical investigation of estrogenic bone protection in a hypertensive rat model under gender-affirming hormone therapy,40563901,"['streckwall l, colareda ga, escudero d, diaz rg, fernandez jm.']",2025,10.3390/biology14060650,TypeEnum.ARTICLE
"mashua (tropaeolum tuberosum ruiz & pavon): nutritional composition, bioactive compounds, and functional potential as an andean natural ingredient",41464904,"['luera-quinones s, correa mj, moreno-rojo c, salvador-reyes r, paucar-menacho lm.']",2025,10.3390/foods14244198,TypeEnum.ARTICLE
