id_document1,id_document2,rules,similarity
10915/174069,None,None,NO_DUPLICATE
10915/174070,None,None,NO_DUPLICATE
10915/174071,None,None,NO_DUPLICATE
10915/174072,None,None,NO_DUPLICATE
10915/174073,None,None,NO_DUPLICATE
10915/174074,None,None,NO_DUPLICATE
10915/174075,None,None,NO_DUPLICATE
10915/174076,None,None,NO_DUPLICATE
10915/174077,None,None,NO_DUPLICATE
10915/174078,None,None,NO_DUPLICATE
10915/174079,None,None,NO_DUPLICATE
10915/174080,None,None,NO_DUPLICATE
10915/174081,None,None,NO_DUPLICATE
10915/174082,None,None,NO_DUPLICATE
10915/174083,None,None,NO_DUPLICATE
10915/174084,None,None,NO_DUPLICATE
10915/174085,None,None,NO_DUPLICATE
10915/174086,None,None,NO_DUPLICATE
10915/174087,None,None,NO_DUPLICATE
10915/174088,None,None,NO_DUPLICATE
10915/174089,None,None,NO_DUPLICATE
10915/174090,None,None,NO_DUPLICATE
10915/174091,None,None,NO_DUPLICATE
10915/174092,None,None,NO_DUPLICATE
10915/174093,None,None,NO_DUPLICATE
10915/174094,None,None,NO_DUPLICATE
10915/174095,None,None,NO_DUPLICATE
10915/174096,None,None,NO_DUPLICATE
10915/174097,None,None,NO_DUPLICATE
10915/174098,None,None,NO_DUPLICATE
10915/174099,None,None,NO_DUPLICATE
10915/174100,None,None,NO_DUPLICATE
10915/174101,None,None,NO_DUPLICATE
10915/174102,None,None,NO_DUPLICATE
10915/174103,None,None,NO_DUPLICATE
10915/174104,None,None,NO_DUPLICATE
10915/174105,None,None,NO_DUPLICATE
10915/174106,None,None,NO_DUPLICATE
10915/174107,None,None,NO_DUPLICATE
10915/174108,None,None,NO_DUPLICATE
10915/174109,None,None,NO_DUPLICATE
10915/174110,None,None,NO_DUPLICATE
10915/174111,None,None,NO_DUPLICATE
10915/174112,None,None,NO_DUPLICATE
10915/174113,None,None,NO_DUPLICATE
10915/174114,None,None,NO_DUPLICATE
10915/174115,None,None,NO_DUPLICATE
10915/174116,None,None,NO_DUPLICATE
10915/174117,None,None,NO_DUPLICATE
10915/174118,None,None,NO_DUPLICATE
10915/174119,None,None,NO_DUPLICATE
10915/174120,None,None,NO_DUPLICATE
