id_koha,titulo,autor,anio_publicacion,tipo_tesis,institucion,anio_titulo
28364,"Familiaridad en Melodías, un estudio introductorio a la Memoria Musical basándose en la medición del Potencial Evocado N400","Quintero-Rincón, Antonio",,Maestría.,"Facultad de Bellas Artes. Unlp",2015
43532,Fantasmal,"Rubino Lindner, Pablo Sebastian",,"Tesis de Linenciatura en Música (Orientación en Composición).","Universidad Nacional de La Plata. Facultad de Bellas Artes",2016-2017
32616,"Federación Patronal :","Arias, Mariano",,,,
32950,"Fernando Tenorio. Identidad de empresa","Tapia, Ivana",,,,
32790,"Ferrari Hnos. Arboricultores :","Langone, Guillermo O",,,,
39659,"Figuras de lo invisible :","Palazzo, Franco",,,,
32773,"Folklore y educación musical","Cavalieri, Mabel",,,,
32601,"Forma escultórica a emplazarse en los jardines de la Dirección de Vialidad de la provincia de Buenos Aires","Crespi López, Albertina",,,,
32567,"Formación musical del maestro de grado","Jorajuría, Ana",,,,
32777,"Formas de crecimiento espacial","Estevez, María Teresa",,,,
32598,"Formas en el espacio; relieve de bulto, partiendo del plano de la pared","Migo, Eduardo José",,,,
32617,"Fuerte de la Ensenada de Barragán. Museo histórico.","Arenas, Darío Ramón",,,,
32503,"Función del arte y de la crítica en el proceso de liberación nacional","Zuppa, Graciela",,,,
32654,"Fundación Amigos de la Facultad de Arquitectura y Urbanismo","Adyude, Raúl Eduardo",,,,
32977,"Gabinete calefactor a gas","Pesce, Adriana",,,,
32562,"Gabinete de física del Colegio Nacional","Gómez, María Josefa",,,,
32809,"Generación de la imagen del Correo de la República de los Niños y sus posibles aplicaciones","Gentile, Celeste Corina",,,,
43519,"Genesis y actualidad de la escena tecnológica de Buenos Aires (1996-2016)  :","Ceriani, Alejandra",,"Doctorado en Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2017
32767,"Geometría sensible","Mazza, Cecilia",,,,
41750,"Gestos en la dirección : Comunicación de significados musicales corporeizados/","Damesón, Javier A.",,"Tesis de Maestría en Psicología de la Música.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2018
43113,"Gimnasio de rehabilitación :","Ibarguren, José María",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1988
43151,"Gimnasio terapéutico","Fernández, Pablo",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1983
32548,"Ginastera :","Spoturno, Rodolfo Germán Gabriel",,,,
32805,"Gráfica arquitectónica. Centro Gubernamental Administrativo.  :","Lacolla, Gabriel O",,,,
32895,"Gráfica de identidad del Teatro Argentino","Ramacciotti, Beatríz",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1989
43101,"Gráfica de identificación de instituciones y empresa para el Museo Histórico de las Campañas del Desierto Gral. Conrado E. Villegas de la ciudad de Trenque Lauquen provincia de Buenos Aires","Rubio, Ana María",,"Proyecto de graduación.","Faculta de Bellas Artes. UNLP",1989
32607,"Gráfica de identificación y señalización del Parque Costero del Sur","Aloi, Fabia Andrea",,,,
32667,"Gráfica de productos. Zanella :","Casellas, Fabián Francisco",,,,
32498,"Grupo Nueva Figuración","Mac Donnell, Elizabeth",,,,
43520,"Habitaciones. Cartografías íntimas en el espacio público","Gonález Méndez, Viviana Andrea",,"Magister en Estética y Teoría del Arte.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2011
43501,"Hacia el Jardín de la Tierra sin Mal. La pasionaria o Mburucuyá :","Schoenemann, María de las Mercedes",,"Doctorado en Artes Latinoamericano Contemporáneo.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2019
43535,"Hacia la emancipación del oyente :","Chatelet, Gastón",,"Licenciatura en Música (orientación en Música Popular).","Universidad Nacional de La Plata. Facultad de Bellas Artes",2018
32779,"Hacia una búsqueda de movimiento óptico","Bradanini, Marta",,,,
29957,"Haciendo visible lo invisible :","Quiroga, Jorgelina",,,,
43547,"Herbst in der Fremde","Poulsen, Victor Hugo",,"Trabajo Final de Composición .","Universidad Nacional de La Plata. Facultad de Bellas Artes",2016
42645,"Herramientas de taller :","Anguio, María Bibiana",,"Doctorado en Artes. Línea de formación en Arte Contemporáneo Latinoamericano.","Facultad de Bellas Artes. UNLP",2015
32580,Himnos,"Miller, Diego F",,,,
32784,"Hombre y multitud :","Frei, Lila María",,,,
43508,"Horizontes disciplinares del Diseño Industrial :","Sierra, María Sol",,"Tesis de Doctorado en Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2018
32825,"Hospital Garré","González, Gabriela",,,,
32880,"Hospital general de agudos General San Martín Sector edificio central","Rojas, Sergio Eduardo",,,,
32842,"Hotel Costa Galana","Morcillo, María Mónica",,,,
43526,"Hybris Lenguas","Graciani, Juan Ignacio",,"Especialización en Lenguajes Artísticos (Orientación Lenguaje Visual).","Universidad Nacional de La Plata. Facultad de Artes",2019
32832,"Identidad corporativa de la empresa Cosmetica Biológica de productos cosméticos","Matsuda, Silvia B",,,,
32684,"Identidad de empesa. Manipul","De Luca, Alejandra",,,,
43256,"Identidad de empresa :","Sosa, María Isabel",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1991
32664,"Identidad de empresa Med-Vet","Colussi, Alicia",,,,
43217,"Identidad de empresa Nínive s.a.c.i.f.i.a. :","Astudillo, María Alejandra",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1991
32865,"Identidad de empresa: conjunto de rock and roll. Viejos, sucios y feos","Rodríguez, Esther Alcira",,,,
32883,"Identidad de empresa. Gráfica de productos","Rennis, María Paula",,,,
32620,"Identidad de la empresa LA 98 LP-radio FM.","Anuchnik, Norberto C",,,,
32952,"Identidad de la empresa Master Productos","Tri, Carol",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1990?
32727,"Identidad de la Fiesta de la cerveza en Villa Gesell","Ezpeleta, Gabriela",,,,
32707,"Identidad del CIOP","Macluf, Isabel",,,,
32648,"Identidad del Municipio de Benito Juárez","Aramburu, Luz María",,,,
32816,"Identidad del Parque Nacional Tierra del Fuego","Kim, Ji Yeon",,,,
32721,"Identidad del programa limpiamente","Fernández, Claudia Alejandra",,,,
32893,"Identidad institucional. El Fuerte. Paddle Tennis","Quintero, Silvana Esther",,,,
32978,"Identidad para el III Congreso de Infectología pediátrica","Rivera, Marina",,,,
32884,"Identidad visual de empresa y de producto para una empresa frutivinícola","Pinto Aparicio, Bettina A",,,,
32896,"Identidad visual de L.A.C.A. Laboratorio de cosmética avanzada","Nugent Rincón, Mercedes",,,,
43133,"Identidad visual de la Asociación de Productores Hortícolas de La Plata","Aguilera, Oscar R",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1989
32920,"Identidad visual de la Subsecretaría de cultura de la Provincia de La Pampa","Sacco, Laura",,,,
32796,"Identidad visual de Teatro Coliseo Podestá","López, Mariana",,,,
32899,"Identidad visual del Museo de Ciencias Naturales","Binda, Analía Noemí",,,,
32828,"Identidad visual LADE, Líneas Aéreas del Estado","Gottelli, María Carina",,,,
32653,"Identidad visual para la dirección de transporte de la Municipalidad de La Plata :","Alfonsín, Ana",,,,
32839,"Identidad Visual y Difusión de las Delegaciones Municipales. La Plata","Guerrini, Sebastián",,,,
32697,"Identidad y Promoción Turística para la ciudad de La Plata","Giamello, Roxana D",,,,
32706,"Identidad, promoción y señalización de Mar Azul","La Macchia, Patricia",,,,
32693,"Identidad: Mercado artesanal de Río Negro","Cornejo, Daniel",,,,
32681,"Identificación de ómnibus comunales e intercomunales que circulan en el partido de La Plata y partidos vecinos, y señalización de sus recorridos","Darbón, Patricia S",,,,
32831,"Identificación visual del Canal 11 LU87","Martínez, Luis E",,,,
32745,"Iluminación escénica","Cornide, José María",,,,
32781,"Ilustración de un cuento de Gabriel García Márquez :","Grillo, Graciela Mabel",,,,
32823,"Imagen de empresa :","González Romero, Nora",,,,
32680,"Imagen de empresa de Molino Campodónico","Colicigno, Filils Albertina",,,,
32915,"Imagen de empresa Petroquímica Maleic s.a.","Oldrino, Alejandra Isabel",,,,
32640,"Imagen de Empresa Tiván S.A.","Bianchi, Luisa Luján",,,,
32913,"Imagen de empresa: Vildex","Neira, E",,,,
32637,"Imagen de empresa: Zanella Hnos. y Cía.","Brizuela, Mario Alberto",,,,
32682,"Imagen de empresa. Dirección de la Energía de la provincia de Buenos Aires","Chertudi, Sandra",,,,
32918,"Imágen de empresa. Video Cable Hogar de la ciudad de Lincoln Bs. As.","Sago, Adriana A",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1991
32905,"Imagen de la Repetidora Canal 11 de la Municipalidad de Benito Juárez","Peirano, María Silvia",,,,
43259,"Imagen institucional :","Grisolía, Carlos",,"Proyecto de graduación.","Facultad de Bellas Artes. UNLP",1989
32606,"Imagen institucional del Departamento de Capacitación y promoción laboral","Alvarez, Paula",,,,
32794,"Imagen Institucional. Club de Regatas La Plata","Locatelli, Laura",,,,
32910,"Imagen visual de Aerolíneas Argentinas","Naranja, Julio César",,,,
32793,"Imagen visual Pluspetrol","López, Silvia",,,,
43105,"Imagen y señalización del Hospital Español","Rodríguez, Graciela Edith",,"Proyecto de graduación.","Faculta de Bellas Artes. UNLP",1983
39698,"Imágenes sucesos repetibles y con prisa :","Grieco, Mabel Magdalena",,,,
43511,"Implicancias sentipensantes de las narraciones en juego","Osorio Salinas, Ramiro",,"Maestría en Estética y Teoría de las Artes.","Universidad Nacional de La Plata. Facultad de Bellas Artes",2017
